source_country_iso3,source_country_name,market_segment,period,year,month,horizon,predicted_arrivals,actual_arrivals,split_type,forecast_assumption,coverage_scope
IND,India,Non-ASEAN,2026-09-01,2026,9,4,115620.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
JPN,Japan,Non-ASEAN,2026-06-01,2026,6,1,24643.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
JPN,Japan,Non-ASEAN,2026-07-01,2026,7,2,24905.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
JPN,Japan,Non-ASEAN,2026-08-01,2026,8,3,42771.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
JPN,Japan,Non-ASEAN,2026-09-01,2026,9,4,27846.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
KOR,South Korea,Non-ASEAN,2026-06-01,2026,6,1,30034.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
KOR,South Korea,Non-ASEAN,2026-07-01,2026,7,2,45052.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
KOR,South Korea,Non-ASEAN,2026-08-01,2026,8,3,41883.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
KOR,South Korea,Non-ASEAN,2026-09-01,2026,9,4,26613.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
MMR,Myanmar,ASEAN,2026-06-01,2026,6,1,20404.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
MMR,Myanmar,ASEAN,2026-07-01,2026,7,2,19966.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
MMR,Myanmar,ASEAN,2026-08-01,2026,8,3,20264.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
MMR,Myanmar,ASEAN,2026-09-01,2026,9,4,20546.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
NPL,Nepal,Non-ASEAN,2026-06-01,2026,6,1,3726.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
NPL,Nepal,Non-ASEAN,2026-07-01,2026,7,2,1270.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
NPL,Nepal,Non-ASEAN,2026-08-01,2026,8,3,1922.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
NPL,Nepal,Non-ASEAN,2026-09-01,2026,9,4,2849.0,,future_forecast,L_arrivals=4 (primary),20 modelled source markets only; NOT all-Malaysia total
